date,us10y,us2y,krw,kospi,kr_base,spread,rate_diff
2026-06-06 14:36:42,4.536,3.625,1558.84,8160.5898,3.5,0.911,1.036
2026-06-10 04:32:18,4.528,3.635,1523.48,7716.98,3.5,0.893,1.028
2026-06-10 05:14:58,4.552,3.628,1524.1801,7654.9102,3.5,0.924,1.052
2026-06-10 09:53:37,4.552,3.628,1522.66,7730.8198,3.5,0.924,1.052
2026-06-10 12:54:50,4.528,3.632,1518.9301,7730.8198,3.5,0.896,1.028
2026-06-10 16:33:59,4.528,3.635,1519.39,8096.9302,3.5,0.893,1.028
2026-06-10 19:32:59,4.542,3.635,1520.46,8096.9302,3.5,0.907,1.042
2026-06-10 21:58:38,4.542,3.635,1521.64,8096.9302,3.5,0.907,1.042
2026-06-10 23:39:41,4.542,3.635,1525.8101,8096.9302,3.5,0.907,1.042
2026-06-11 03:37:40,4.542,3.635,1524.86,7613.8501,3.5,0.907,1.042
2026-06-11 08:43:17,4.528,3.635,1530.34,7763.9502,3.5,0.893,1.028
2026-06-11 12:43:02,4.532,3.63,1532.38,7763.9502,3.5,0.902,1.032
2026-06-11 16:52:24,4.53,3.63,1530.91,7730.8198,3.5,0.9,1.03
2026-06-11 19:33:56,4.463,3.623,1518.08,7730.8198,3.5,0.84,0.963
2026-06-11 22:00:35,4.463,3.623,1516.01,7730.8198,3.5,0.84,0.963
2026-06-12 00:17:10,4.463,3.623,1520.78,7730.8198,3.5,0.84,0.963
2026-06-12 05:29:18,4.463,3.623,1521.28,8360.4805,3.5,0.84,0.963
2026-06-12 10:06:12,4.463,3.623,1517.88,8123.6201,3.5,0.84,0.963
2026-06-12 14:08:44,4.495,3.623,1517.1801,8123.6201,3.5,0.872,0.995
2026-06-12 17:35:58,4.477,3.62,1517.59,7763.9502,3.5,0.857,0.977
2026-06-12 20:05:55,4.487,3.618,1517.3101,7763.9502,3.5,0.869,0.987
2026-06-12 22:22:08,4.487,3.618,1517.89,7763.9502,3.5,0.869,0.987
2026-06-13 00:18:18,4.487,3.618,1517.89,7763.9502,3.5,0.869,0.987
2026-06-13 05:18:59,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-13 08:54:00,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-13 11:12:13,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-13 13:52:58,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-13 15:41:19,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-13 17:19:48,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-13 19:20:53,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-13 21:12:26,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-13 23:01:45,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-14 03:41:00,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-14 08:13:23,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-14 11:28:34,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-14 13:55:54,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-14 15:48:31,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-14 17:17:53,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-14 19:22:03,4.487,3.618,1517.89,8123.6201,3.5,0.869,0.987
2026-06-14 21:08:35,4.487,3.618,1518.47,8123.6201,3.5,0.869,0.987
2026-06-14 23:05:51,4.487,3.618,1518.5699,8123.6201,3.5,0.869,0.987
2026-06-15 03:55:52,4.487,3.618,1511.78,8579.7598,3.5,0.869,0.987
2026-06-15 10:22:34,4.487,3.618,1514.5601,8545.9805,3.5,0.869,0.987
2026-06-15 16:15:48,4.457,3.62,1514.75,8123.6201,3.5,0.837,0.957
2026-06-15 20:23:33,4.469,3.618,1514.0,8123.6201,3.5,0.851,0.969
2026-06-15 23:00:50,4.469,3.618,1509.5,8123.6201,3.5,0.851,0.969
2026-06-16 03:44:13,4.469,3.618,1512.08,8698.6602,3.5,0.851,0.969
2026-06-16 09:24:03,4.487,3.618,1505.91,8726.5996,3.5,0.869,0.987
2026-06-16 15:03:53,4.48,3.635,1508.1801,8123.6201,3.5,0.845,0.98
2026-06-16 19:31:27,4.428,3.63,1508.67,8545.9805,3.5,0.798,0.928
2026-06-16 22:08:42,4.428,3.63,1508.46,8545.9805,3.5,0.798,0.928
2026-06-17 00:13:49,4.428,3.63,1509.6801,8545.9805,3.5,0.798,0.928
2026-06-17 06:07:48,4.487,3.618,1511.72,8859.0303,3.5,0.869,0.987
2026-06-17 11:44:51,4.487,3.618,1516.73,8864.2402,3.5,0.869,0.987
2026-06-17 15:18:53,4.441,3.63,1514.9301,8726.5996,3.5,0.811,0.941
2026-06-17 18:13:05,4.43,3.625,1519.79,8726.5996,3.5,0.805,0.93
2026-06-17 21:02:29,4.463,3.647,1527.62,8726.5996,3.5,0.816,0.963
2026-06-17 23:20:54,4.463,3.647,1510.96,8726.5996,3.5,0.816,0.963
